year,count,mean,std,sem,ci_low,ci_high,n_seqs,mean_seq_len,avg_uncompressed_bytes,avg_zlib_bytes,avg_compression_ratio,avg_bytes_per_base,avg_bits_per_base,avg_ratio_vs_2bit,avg_excess_bits_per_base,avg_overhead_bits_hat,avg_bits_per_base_corrected
2010,307,1.9195618716566465,0.012821817321537492,0.0007317797665948759,1.9181275833141205,1.9209961599991725,307,1672.57328990228,1672.57328990228,565.742671009772,0.33841552671709346,0.33841552671709346,2.7073242137367477,1.3515890825612753,0.7073242137367477,1314.8534201954396,1.9195618716566465
2011,493,1.9142624500751713,0.011659853720907708,0.0005251334009844968,1.9132331886092417,1.9152917115411008,493,1672.841784989858,1672.841784989858,564.6024340770791,0.33766778199086345,0.33766778199086345,2.7013422559269076,1.3487503840135633,0.7013422559269076,1314.4056795131846,1.9142624500751713
2012,1269,1.916201696174525,0.011775192174408854,0.0003305500236868619,1.9155538181280987,1.9168495742209513,1269,1657.9306540583136,1657.9306540583136,560.0795902285264,0.338182001345895,0.338182001345895,2.70545601076716,1.3507080970075593,0.7054560107671599,1303.3286052009457,1.916201696174525
2013,1138,1.9168659491691493,0.015097995670681446,0.00044755680562756086,1.9159887378301192,1.9177431605081794,1138,1703.4973637961336,1703.4973637961336,574.1959578207382,0.33725415677190707,0.33725415677190707,2.6980332541752565,1.3468184206556981,0.6980332541752563,1328.0949033391917,1.9168659491691493
2014,2083,1.905113913341233,0.01701104633666983,0.0003727231712608979,1.9043833759255615,1.9058444507569043,2083,1702.1531445031205,1702.1531445031205,572.1123379740759,0.33611725114835705,0.33611725114835705,2.6889380091868564,1.3421248754931983,0.6889380091868565,1334.1171387421987,1.905113913341233
2015,2411,1.904576492518398,0.01484139509949238,0.00030225682884676546,1.9039840691338583,1.9051689159029375,2411,1705.7109083367898,1705.7109083367898,572.9672335130651,0.33591284860569565,0.33591284860569565,2.687302788845565,1.34130834761511,0.6873027888455651,1335.0518457071755,1.904576492518398
2016,2053,1.918449348717565,0.01661702169383008,0.00036674036438942575,1.9177305376033615,1.9191681598317683,2053,1732.090112031174,1732.090112031174,582.9532391622016,0.33656477722344924,0.33656477722344924,2.692518217787594,1.3439592147868926,0.692518217787594,1340.6848514369217,1.918449348717565
2017,5328,1.9220926731382224,0.01876307777583737,0.00025705258208994327,1.9215888500773262,1.9225964961991187,5328,1731.6888138138138,1731.6888138138138,583.7678303303303,0.33711665864993057,0.33711665864993057,2.6969332691994445,1.346242454276532,0.6969332691994448,1341.6118618618618,1.9220926731382224
2018,3692,1.9219780442688705,0.02373818092987412,0.00039067587137332175,1.921212319560979,1.9227437689767621,3692,1734.8561755146263,1734.8561755146263,584.7085590465872,0.33704091719554735,0.33704091719554735,2.696327337564379,1.3459561702286673,0.6963273375643791,1343.2323943661972,1.9219780442688705
2019,5456,1.953368544704873,0.011733528443090582,0.00015885154736143778,1.9530571956720446,1.9536798937377013,5456,1731.7485337243402,1731.7485337243402,590.6715542521994,0.3411013612521544,0.3411013612521544,2.728810890017235,1.3621731010691838,0.7288108900172351,1342.5439882697947,1.953368544704873
2020,480,1.9406175787904874,0.014891220108497798,0.0006796880968498976,1.9392853901206615,1.9419497674603132,480,1735.05,1735.05,588.7,0.3392989120545673,0.3392989120545673,2.7143912964365384,1.3549176509951202,0.7143912964365386,1342.5083333333334,1.9406175787904874
2021,3476,1.9174876124508342,0.012911016169500755,0.00021898811290331383,1.9170583957495437,1.9179168291521247,3476,1718.277330264672,1718.277330264672,579.165995397008,0.33705596550950373,0.33705596550950373,2.69644772407603,1.346005378916605,0.6964477240760298,1338.367088607595,1.9174876124508342
2022,10179,1.9246930966291569,0.01526359071711224,0.00015128788622708798,1.924396572372152,1.9249896208861619,10179,1720.0798703212497,1720.0798703212497,581.278612830337,0.3379322354774007,0.3379322354774007,2.7034578838192056,1.349470304955254,0.7034578838192055,1339.42175066313,1.9246930966291569
2023,2922,1.9397860454034843,0.023115426818249428,0.00042762374354936706,1.9389479028661276,1.940624187940841,2922,1725.560232717317,1725.560232717317,585.9041752224504,0.3395386764217028,0.3395386764217028,2.7163094113736226,1.3558423998339775,0.7163548812647083,1339.8377823408625,1.9397860454034843
2024,8449,1.9453191595281627,0.030412289349257715,0.0003308616709662671,1.9446706706530688,1.9459676484032566,8449,1723.583264291632,1723.583264291632,586.5386436264647,0.34033774785955817,0.34033774785955817,2.7227019828764654,1.3590435428991543,0.7228705264995737,1339.1906734524796,1.9453191595281627
2025,5168,1.9430354504743972,0.013385989789382179,0.00018620409892209074,1.9426704904405099,1.9434004105082845,5168,1721.656540247678,1721.656540247678,585.4827786377709,0.3400744035736663,0.3400744035736663,2.7205952285893304,1.3579853722097404,0.7205952285893304,1338.4996130030959,1.9430354504743972
